0.05 0.0950663 0.0397224 -0.0482599
0.1 0.180863 0.0754949 -0.0916717
0.15 0.258069 0.107535 -0.130458
0.2 0.327318 0.136052 -0.164836
0.25 0.389201 0.161244 -0.195018
0.3 0.444272 0.183302 -0.22121
0.35 0.493049 0.202408 -0.243615
0.4 0.536015 0.218737 -0.262428
0.45 0.573619 0.232455 -0.27784
0.5 0.606283 0.243721 -0.290039
0.55 0.634399 0.252688 -0.299204
0.6 0.658332 0.259499 -0.305513
0.65 0.678425 0.264295 -0.309136
0.7 0.694993 0.267207 -0.31024
0.75 0.708334 0.268361 -0.308986
0.8 0.718722 0.267877 -0.305531
0.85 0.726414 0.265869 -0.300027
0.9 0.731648 0.262448 -0.29262
0.95 0.734645 0.257717 -0.283455
1 0.735611 0.251775 -0.272667
1.05 0.734737 0.244715 -0.260392
1.1 0.7322 0.236629 -0.246758
1.15 0.728164 0.2276 -0.23189
1.2 0.722781 0.21771 -0.215907
1.25 0.716193 0.207036 -0.198926
1.3 0.708529 0.19565 -0.181058
1.35 0.69991 0.183622 -0.162411
1.4 0.690448 0.171018 -0.143089
1.45 0.680244 0.157899 -0.12319
1.5 0.669395 0.144325 -0.10281
1.55 0.657987 0.130351 -0.0820401
1.6 0.6461 0.116031 -0.0609682
1.65 0.633808 0.101413 -0.0396779
1.7 0.62118 0.0865444 -0.0182492
1.75 0.608276 0.0714705 0.00324151
1.8 0.595154 0.0562328 0.0247215
1.85 0.581866 0.0408705 0.0461214
1.9 0.568459 0.0254208 0.0673757
1.95 0.554976 0.00991859 0.0884218
2 0.541457 -0.00560349 0.109201
2.05 0.527937 -0.0211147 0.129657
2.1 0.514448 -0.0365863 0.149738
2.15 0.50102 -0.0519915 0.169393
2.2 0.487678 -0.0673051 0.188577
2.25 0.474447 -0.0825036 0.207247
2.3 0.461346 -0.0975653 0.225361
2.35 0.448395 -0.11247 0.242882
2.4 0.435611 -0.127199 0.259776
2.45 0.423007 -0.141734 0.27601
2.5 0.410597 -0.15606 0.291554
2.55 0.398391 -0.170162 0.306381
2.6 0.3864 -0.184027 0.320468
2.65 0.374631 -0.197641 0.333793
2.7 0.363091 -0.210994 0.346334
2.75 0.351786 -0.224075 0.358077
2.8 0.340721 -0.236875 0.369004
2.85 0.329898 -0.249385 0.379104
2.9 0.31932 -0.261599 0.388365
2.95 0.30899 -0.273509 0.39678
3 0.298908 -0.28511 0.40434
3.05 0.289075 -0.296396 0.411042
3.1 0.27949 -0.307364 0.416882
3.15 0.270152 -0.318009 0.421859
3.2 0.261061 -0.328329 0.425974
3.25 0.252214 -0.338321 0.429228
3.3 0.243609 -0.347983 0.431626
3.35 0.235244 -0.357314 0.433173
3.4 0.227115 -0.366314 0.433875
3.45 0.21922 -0.374981 0.433741
3.5 0.211555 -0.383316 0.43278
3.55 0.204116 -0.39132 0.431002
3.6 0.196899 -0.398993 0.428421
3.65 0.189901 -0.406337 0.425049
3.7 0.183118 -0.413354 0.4209
3.75 0.176544 -0.420045 0.415991
3.8 0.170176 -0.426413 0.410336
3.85 0.16401 -0.43246 0.403954
3.9 0.15804 -0.43819 0.396863
3.95 0.152262 -0.443605 0.389081
4 0.146672 -0.448708 0.380629
4.05 0.141265 -0.453504 0.371528
4.1 0.136037 -0.457995 0.361797
4.15 0.130983 -0.462187 0.351461
4.2 0.126098 -0.466082 0.34054
4.25 0.121378 -0.469685 0.329058
4.3 0.116818 -0.473 0.317039
4.35 0.112415 -0.476032 0.304506
4.4 0.108163 -0.478785 0.291484
4.45 0.104058 -0.481264 0.277997
4.5 0.100097 -0.483474 0.264071
4.55 0.0962744 -0.485419 0.249731
4.6 0.0925865 -0.487105 0.235002
4.65 0.0890294 -0.488536 0.21991
4.7 0.0855989 -0.489716 0.204482
4.75 0.0822913 -0.490653 0.188742
4.8 0.0791026 -0.491349 0.172718
4.85 0.0760292 -0.49181 0.156435
4.9 0.0730673 -0.492042 0.139918
4.95 0.0702135 -0.49205 0.123196
5 0.0674641 -0.491837 0.106292
5.05 0.0648158 -0.491411 0.0892335
5.1 0.0622653 -0.490774 0.0720459
5.15 0.0598093 -0.489934 0.0547547
5.2 0.0574447 -0.488894 0.0373853
5.25 0.0551684 -0.487659 0.0199629
5.3 0.0529773 -0.486235 0.00251239
5.35 0.0508687 -0.484627 -0.0149417
5.4 0.0488396 -0.482839 -0.0323749
5.45 0.0468872 -0.480876 -0.0497634
5.5 0.0450091 -0.478743 -0.0670835
5.55 0.0432024 -0.476445 -0.0843119
5.6 0.0414648 -0.473987 -0.101426
5.65 0.0397937 -0.471372 -0.118403
5.7 0.0381869 -0.468606 -0.135221
5.75 0.0366419 -0.465693 -0.151859
5.8 0.0351567 -0.462638 -0.168295
5.85 0.033729 -0.459445 -0.184509
5.9 0.0323567 -0.456119 -0.200481
5.95 0.0310378 -0.452663 -0.216192
6 0.0297704 -0.449082 -0.231622
6.05 0.0285526 -0.44538 -0.246754
6.1 0.0273825 -0.441561 -0.261568
6.15 0.0262584 -0.437629 -0.276049
6.2 0.0251785 -0.433588 -0.290179
6.25 0.0241413 -0.429442 -0.303942
6.3 0.023145 -0.425194 -0.317323
6.35 0.0221882 -0.420849 -0.330308
6.4 0.0212694 -0.41641 -0.342881
6.45 0.0203871 -0.41188 -0.35503
